0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:19 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:20 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:20 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:20 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:20 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:22 +0545] "GET /PixlePrinter/pages/Login.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:27 +0545] "POST /PixlePrinter/UserLogin HTTP/1.1" 302 -
